Year,AR6_R10,GW,MWh/yr,MtCO2/yr,Type
2050,R10AFRICA,18.295,56092470.0,36.964937729999995,Const_low
2050,R10CHINA+,55.409000000000006,169883994.0,111.95355204599998,Const_low
2050,R10EUROPE,14.004,42936263.99999999,28.294997975999998,Const_low
2050,R10INDIA+,7.636999999999999,23415041.999999996,15.430512677999998,Const_low
2050,R10LATIN_AM,17.81,54605459.99999999,35.984998139999995,Const_low
2050,R10MIDDLE_EAST,73.00788,223842160.07999998,147.51198349272,Const_low
2050,R10NORTH_AM,33.586999999999996,102977742.0,67.86233197799999,Const_low
2050,R10PAC_OECD,3.188,9774408.0,6.4413348720000005,Const_low
2050,R10REF_ECON,13.223,40541718.0,26.716992162,Const_low
2050,R10REST_ASIA,34.315,105209789.99999997,69.33325160999999,Const_low
2051,R10AFRICA,13.628,41783448.0,27.535292232,Const_low
2051,R10CHINA+,48.214,147824124.0,97.416097716,Const_low
2051,R10EUROPE,13.449,41234633.99999999,27.173623806,Const_low
2051,R10INDIA+,6.356999999999999,19490562.0,12.844280357999999,Const_low
2051,R10LATIN_AM,13.870000000000001,42525420.0,28.02425178,Const_low
2051,R10MIDDLE_EAST,66.63588,204305608.07999998,134.63739572472,Const_low
2051,R10NORTH_AM,22.178,67997748.0,44.810515932,Const_low
2051,R10PAC_OECD,2.9880000000000004,9161208.0,6.037236072000001,Const_low
2051,R10REF_ECON,12.107000000000001,37120062.0,24.462120858000002,Const_low
2051,R10REST_ASIA,27.282,83646612.0,55.12311730799999,Const_low
2052,R10AFRICA,10.508000000000001,32217528.0,21.231350952,Const_low
2052,R10CHINA+,39.825,122103450.0,80.46617355,Const_low
2052,R10EUROPE,11.721,35936585.99999999,23.682210173999998,Const_low
2052,R10INDIA+,3.9349999999999996,12064710.0,7.95064389,Const_low
2052,R10LATIN_AM,11.306000000000001,34664196.0,22.843705164,Const_low
2052,R10MIDDLE_EAST,58.722879999999996,180044350.07999998,118.64922670271999,Const_low
2052,R10NORTH_AM,15.961,48936426.0,32.249104734,Const_low
2052,R10PAC_OECD,2.838,8701308.0,5.734161972000001,Const_low
2052,R10REF_ECON,9.739,29859774.0,19.677591066,Const_low
2052,R10REST_ASIA,17.518,53710187.99999999,35.395013891999994,Const_low
2053,R10AFRICA,10.508000000000001,32217528.0,21.231350952,Const_low
2053,R10CHINA+,39.825,122103450.0,80.46617355,Const_low
2053,R10EUROPE,11.721,35936585.99999999,23.682210173999998,Const_low
2053,R10INDIA+,3.9349999999999996,12064710.0,7.95064389,Const_low
2053,R10LATIN_AM,10.205,31288530.0,20.61914127,Const_low
2053,R10MIDDLE_EAST,57.939879999999995,177643672.07999998,117.06717990071999,Const_low
2053,R10NORTH_AM,15.961,48936426.0,32.249104734,Const_low
