Region,year,Model,Scenario,Category,growth_rate
R10INDIA+,2047,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,-0.6391672309826132
R10INDIA+,2048,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,-0.6133119699586147
R10INDIA+,2049,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,-0.5619419714711225
R10INDIA+,2050,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,-0.05485527719585981
R10NORTH_AM,2025,REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_400,C1,0.0094857660824339
R10NORTH_AM,2026,REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_400,C1,0.0008479327277355342
R10NORTH_AM,2027,REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_400,C1,-0.007926088406398635
R10NORTH_AM,2028,REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_400,C1,-0.016847913077146504
R10NORTH_AM,2029,REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_400,C1,-0.025930280952471962
R10NORTH_AM,2030,REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_400,C1,-0.035187223614715935
R10NORTH_AM,2031,REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_400,C1,-0.04413945044038714
R10NORTH_AM,2032,REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_400,C1,-0.054106970175469726
R10NORTH_AM,2033,REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_400,C1,-0.06528863297035303
R10NORTH_AM,2034,REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_400,C1,-0.07794373471515725
R10NORTH_AM,2035,REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_400,C1,-0.09241896505822755
R10NORTH_AM,2036,REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_400,C1,-0.10007563969926492
R10NORTH_AM,2037,REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_400,C1,-0.10947218991938434
R10NORTH_AM,2038,REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_400,C1,-0.12129577858265206
R10NORTH_AM,2039,REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_400,C1,-0.1366653091829153
